codigo_ine,nombre_oficial,nombre_alternativo,nombre_cooficial,activo
01,Andalucía,Andalucía,Andalucía,True
02,Aragón,Aragón,Aragón,True
03,"Asturias, Principado de",Asturias,Asturies,True
04,"Balears, Illes",Baleares,Illes Balears,True
05,Canarias,Canarias,Canarias,True
06,Cantabria,Cantabria,Cantabria,True
07,Castilla y León,Castilla y León,Castilla y León,True
08,Castilla-La Mancha,Castilla-La Mancha,Castilla-La Mancha,True
09,Cataluña,Cataluña,Catalunya,True
10,Comunitat Valenciana,Comunidad Valenciana,Comunitat Valenciana,True
11,Extremadura,Extremadura,Extremadura,True
12,Galicia,Galicia,Galicia,True
13,"Madrid, Comunidad de",Madrid,Comunidad de Madrid,True
14,"Murcia, Región de",Murcia,Región de Murcia,True
15,"Navarra, Comunidad Foral de",Navarra,Nafarroa,True
16,País Vasco,País Vasco,Euskadi,True
17,"Rioja, La",La Rioja,La Rioja,True
18,Ceuta,Ceuta,Ceuta,True
19,Melilla,Melilla,Melilla,True
