Comunidad Autónoma,Provincia,Número de inmatriculaciones
ANDALUCIA OCCIDENTAL,Cadiz,51
ANDALUCIA OCCIDENTAL,Cordoba,399
ANDALUCIA OCCIDENTAL,Huelva,226
ANDALUCIA OCCIDENTAL,Sevilla,295
ANDALUCIA ORIENTAL,Almeria,349
ANDALUCIA ORIENTAL,Granada,244
ANDALUCIA ORIENTAL,Jaen,283
ANDALUCIA ORIENTAL,Malaga,264
ARAGON,Huesca,1243
ARAGON,Teruel,500
ARAGON,Zaragoza,317
ASTURIAS,Asturias,549
BALEARES,Baleares,219
CANARIAS-LAS PALMAS,Canarias-Las Palmas,276
CANARIAS-TENERIFE,Canarias-Tenerife,256
CANTABRIA,Cantabria,2058
CASTILLA-LA MANCHA,Albacete,214
CASTILLA-LA MANCHA,Ciudad Real,25
CASTILLA-LA MANCHA,Cuenca,669
CASTILLA-LA MANCHA,Guadalajara,614
CASTILLA-LA MANCHA,Toledo,234
CASTILLA-LEON,Avila,696
CASTILLA-LEON,Burgos,1945
CASTILLA-LEON,Leon,2012
CASTILLA-LEON,Palencia,946
CASTILLA-LEON,Salamanca,946
CASTILLA-LEON,Segovia,407
CASTILLA-LEON,Soria,1564
CASTILLA-LEON,Valladolid,115
CASTILLA-LEON,Zamora,1613
CATALUÑA,Barcelona,1024
CATALUÑA,Girona,577
CATALUÑA,Lleida,2244
CATALUÑA,Tarragona,435
COMUNIDAD VALENCIANA,Alicante,178
COMUNIDAD VALENCIANA,Castellon,212
COMUNIDAD VALENCIANA,Valencia,522
EXTREMADURA,Badajoz,417
EXTREMADURA,Caceres,565
GALICIA,A Coruna,2669
GALICIA,Lugo,1062
GALICIA,Ourense,2017
GALICIA,Pontevedra,1383
LA RIOJA,La Rioja,266
MADRID,Madrid,364
MURCIA,Murcia,472
NAVARRA,Navarra,1034
PAIS VASCO,Alava,48
PAIS VASCO,Guipuzcoa,9
PAIS VASCO,Vizcaya,31
